緯度,経度,名称,住所,区,種別,設置区分,特別支援,定員,電話番号
35.871677,139.656754,さいたま市立浦和中学校,埼玉県さいたま市浦和区元町１－２８－１７,浦和区,中学校,公立,知的固定あり（情緒固定なし）,,
35.850685,139.665115,さいたま市立岸中学校,埼玉県さいたま市南区南本町２－２５－２７,南区,中学校,公立,知的固定・情緒固定あり,,
35.8353,139.657593,さいたま市立南浦和中学校,埼玉県さいたま市南区辻６－１－３３,南区,中学校,公立,知的固定あり（情緒固定なし）,,
35.848907,139.652557,さいたま市立白幡中学校,埼玉県さいたま市南区白幡２－１８－１３,南区,中学校,公立,知的固定・情緒固定あり,,
35.852928,139.674103,さいたま市立大谷場中学校,埼玉県さいたま市南区大谷場２－１３－５４,南区,中学校,公立,知的固定・情緒固定あり,,
35.862751,139.683517,さいたま市立大谷口中学校,埼玉県さいたま市南区広ヶ谷戸２１,南区,中学校,公立,知的固定・情緒固定あり,,
35.836079,139.64769,さいたま市立内谷中学校,埼玉県さいたま市南区内谷６－１０－１,南区,中学校,公立,知的固定・情緒固定あり,,
35.86795,139.66713,さいたま市立原山中学校,埼玉県さいたま市緑区太田窪１－１０－２２,緑区,中学校,公立,知的固定・情緒固定あり,,
35.874668,139.68396,さいたま市立東浦和中学校,埼玉県さいたま市緑区中尾１２０７－１,緑区,中学校,公立,知的固定あり（情緒固定なし）,,
35.892498,139.712601,さいたま市立美園中学校,埼玉県さいたま市緑区大崎２５５０－３,緑区,中学校,公立,知的固定・情緒固定あり,,
35.887135,139.684219,さいたま市立三室中学校,埼玉県さいたま市緑区馬場１－３８－２,緑区,中学校,公立,知的固定・情緒固定あり,,
35.869366,139.698456,さいたま市立尾間木中学校,埼玉県さいたま市緑区東浦和４－２９－１,緑区,中学校,公立,知的固定・情緒固定あり,,
35.885689,139.736267,さいたま市立美園南中学校,埼玉県さいたま市緑区美園６－１５,緑区,中学校,公立,知的固定・情緒固定あり,,
35.948498,139.703613,さいたま市立岩槻中学校,埼玉県さいたま市岩槻区仲町１丁目１４－３５,岩槻区,中学校,公立,知的固定・情緒固定あり,,
35.947681,139.731949,さいたま市立川通中学校,埼玉県さいたま市岩槻区長宮４３５番地,岩槻区,中学校,公立,知的固定・情緒固定あり,,
35.9146,139.726883,さいたま市立城南中学校,埼玉県さいたま市岩槻区大字笹久保５７７番地,岩槻区,中学校,公立,知的固定・情緒固定あり,,
35.985207,139.705505,さいたま市立慈恩寺中学校,埼玉県さいたま市岩槻区大字裏慈恩寺５０５,岩槻区,中学校,公立,知的固定・情緒固定あり,,
35.965557,139.689545,さいたま市立城北中学校,埼玉県さいたま市岩槻区本宿３９２－１,岩槻区,中学校,公立,知的固定・情緒固定あり,,
35.972321,139.710419,さいたま市立桜山中学校,埼玉県さいたま市岩槻区表慈恩寺６８４－１,岩槻区,中学校,公立,知的固定・情緒固定あり,,
35.935406,139.703506,さいたま市立柏陽中学校,埼玉県さいたま市岩槻区大字真福寺４５４番地,岩槻区,中学校,公立,知的固定・情緒固定あり,,
35.955357,139.681519,さいたま市立西原中学校,埼玉県さいたま市岩槻区大字岩槻３７５０,岩槻区,中学校,公立,知的固定・情緒固定あり,,
35.926434,139.579208,埼玉栄中学校,埼玉県さいたま市西区西大宮３丁目１１番地１,西区,中学校,私立,,,
35.912548,139.643799,大宮開成中学校,埼玉県さいたま市大宮区堀の内町１－６１５,大宮区,中学校,私立,,,
35.946171,139.633621,栄東中学校,埼玉県さいたま市見沼区砂町２－７７,見沼区,中学校,私立,,,
35.897133,139.627457,淑徳与野中学校,埼玉県さいたま市中央区上落合５－１９－１８,中央区,中学校,私立,,,
35.83989,139.676956,浦和実業学園中学校,埼玉県さいたま市南区文蔵３－９－１,南区,中学校,私立,,,
35.869698,139.708038,浦和明の星女子中学校,埼玉県さいたま市緑区東浦和６－４－１９,緑区,中学校,私立,,,
35.887722,139.71698,青山学院大学系属浦和ルーテル学院中学校,埼玉県さいたま市緑区大字大崎３６４２,緑区,中学校,私立,,,
35.972153,139.714417,開智中学校,埼玉県さいたま市岩槻区徳力１８６,岩槻区,中学校,私立,,,
