学校名,住所,区,学校種別,設置区分,特別支援
さいたま市立上大久保中学校,埼玉県さいたま市桜区上大久保８６１－１,桜区,中学校,公立,知的固定・情緒固定あり
さいたま市立常盤中学校,埼玉県さいたま市浦和区針ヶ谷４－１－９,浦和区,中学校,公立,知的固定・情緒固定あり
さいたま市立木崎中学校,埼玉県さいたま市浦和区瀬ヶ崎２－１７－１,浦和区,中学校,公立,知的固定・情緒固定あり
さいたま市立本太中学校,埼玉県さいたま市浦和区領家１－４－１５,浦和区,中学校,公立,知的固定・情緒固定あり
さいたま市立大原中学校,埼玉県さいたま市浦和区大原３－１－１１,浦和区,中学校,公立,知的固定・情緒固定あり
さいたま市立浦和中学校,埼玉県さいたま市浦和区元町１－２８－１７,浦和区,中学校,公立,知的固定あり（情緒固定なし）
さいたま市立岸中学校,埼玉県さいたま市南区南本町２－２５－２７,南区,中学校,公立,知的固定・情緒固定あり
さいたま市立南浦和中学校,埼玉県さいたま市南区辻６－１－３３,南区,中学校,公立,知的固定あり（情緒固定なし）
さいたま市立白幡中学校,埼玉県さいたま市南区白幡２－１８－１３,南区,中学校,公立,知的固定・情緒固定あり
さいたま市立大谷場中学校,埼玉県さいたま市南区大谷場２－１３－５４,南区,中学校,公立,知的固定・情緒固定あり
さいたま市立大谷口中学校,埼玉県さいたま市南区広ヶ谷戸２１,南区,中学校,公立,知的固定・情緒固定あり
さいたま市立内谷中学校,埼玉県さいたま市南区内谷６－１０－１,南区,中学校,公立,知的固定・情緒固定あり
さいたま市立原山中学校,埼玉県さいたま市緑区太田窪１－１０－２２,緑区,中学校,公立,知的固定・情緒固定あり
さいたま市立東浦和中学校,埼玉県さいたま市緑区中尾１２０７－１,緑区,中学校,公立,知的固定あり（情緒固定なし）
さいたま市立美園中学校,埼玉県さいたま市緑区大崎２５５０－３,緑区,中学校,公立,知的固定・情緒固定あり
さいたま市立三室中学校,埼玉県さいたま市緑区馬場１－３８－２,緑区,中学校,公立,知的固定・情緒固定あり
さいたま市立尾間木中学校,埼玉県さいたま市緑区東浦和４－２９－１,緑区,中学校,公立,知的固定・情緒固定あり
さいたま市立美園南中学校,埼玉県さいたま市緑区美園６－１５,緑区,中学校,公立,知的固定・情緒固定あり
さいたま市立岩槻中学校,埼玉県さいたま市岩槻区仲町１丁目１４－３５,岩槻区,中学校,公立,知的固定・情緒固定あり
さいたま市立川通中学校,埼玉県さいたま市岩槻区長宮４３５番地,岩槻区,中学校,公立,知的固定・情緒固定あり
さいたま市立城南中学校,埼玉県さいたま市岩槻区大字笹久保５７７番地,岩槻区,中学校,公立,知的固定・情緒固定あり
さいたま市立慈恩寺中学校,埼玉県さいたま市岩槻区大字裏慈恩寺５０５,岩槻区,中学校,公立,知的固定・情緒固定あり
さいたま市立城北中学校,埼玉県さいたま市岩槻区本宿３９２－１,岩槻区,中学校,公立,知的固定・情緒固定あり
さいたま市立桜山中学校,埼玉県さいたま市岩槻区表慈恩寺６８４－１,岩槻区,中学校,公立,知的固定・情緒固定あり
さいたま市立柏陽中学校,埼玉県さいたま市岩槻区大字真福寺４５４番地,岩槻区,中学校,公立,知的固定・情緒固定あり
さいたま市立西原中学校,埼玉県さいたま市岩槻区大字岩槻３７５０,岩槻区,中学校,公立,知的固定・情緒固定あり
埼玉栄中学校,埼玉県さいたま市西区西大宮３丁目１１番地１,西区,中学校,私立,
大宮開成中学校,埼玉県さいたま市大宮区堀の内町１－６１５,大宮区,中学校,私立,
栄東中学校,埼玉県さいたま市見沼区砂町２－７７,見沼区,中学校,私立,
淑徳与野中学校,埼玉県さいたま市中央区上落合５－１９－１８,中央区,中学校,私立,
浦和実業学園中学校,埼玉県さいたま市南区文蔵３－９－１,南区,中学校,私立,
浦和明の星女子中学校,埼玉県さいたま市緑区東浦和６－４－１９,緑区,中学校,私立,
青山学院大学系属浦和ルーテル学院中学校,埼玉県さいたま市緑区大字大崎３６４２,緑区,中学校,私立,
開智中学校,埼玉県さいたま市岩槻区徳力１８６,岩槻区,中学校,私立,
埼玉県立浦和高等学校,埼玉県さいたま市浦和区領家５－３－３,浦和区,高等学校,公立,
埼玉県立浦和第一女子高等学校,埼玉県さいたま市浦和区岸町３－８－４５,浦和区,高等学校,公立,
埼玉県立浦和西高等学校,埼玉県さいたま市浦和区木崎３－１－１,浦和区,高等学校,公立,
埼玉県立大宮高等学校,埼玉県さいたま市大宮区天沼町２ー３２３,大宮区,高等学校,公立,
埼玉県立岩槻商業高等学校,埼玉県さいたま市岩槻区太田１－４－１,岩槻区,高等学校,公立,
埼玉県立与野高等学校,埼玉県さいたま市中央区本町西２－８－１,中央区,高等学校,公立,
埼玉県立浦和商業高等学校,埼玉県さいたま市南区白幡２－１９－３９,南区,高等学校,公立,
埼玉県立大宮商業高等学校,埼玉県さいたま市見沼区大和田町１丁目３５６番地,見沼区,高等学校,公立,
埼玉県立浦和工業高等学校,埼玉県さいたま市桜区西堀５－１－１,桜区,高等学校,公立,
埼玉県立いずみ高等学校,埼玉県さいたま市中央区円阿弥７－４－１,中央区,高等学校,公立,
埼玉県立大宮工業高等学校,埼玉県さいたま市北区本郷町１９７０番地,北区,高等学校,公立,
埼玉県立岩槻高等学校,埼玉県さいたま市岩槻区城南１－３－３８,岩槻区,高等学校,公立,
埼玉県立常盤高等学校,埼玉県さいたま市桜区上大久保５１９－１,桜区,高等学校,公立,
埼玉県立大宮武蔵野高等学校,埼玉県さいたま市西区西遊馬１６０１,西区,高等学校,公立,
埼玉県立浦和北高等学校,埼玉県さいたま市桜区五関５９５,桜区,高等学校,公立,
埼玉県立大宮東高等学校,埼玉県さいたま市見沼区膝子５６７,見沼区,高等学校,公立,
埼玉県立岩槻北陵高等学校,埼玉県さいたま市岩槻区慈恩寺１１７－２,岩槻区,高等学校,公立,
埼玉県立大宮南高等学校,埼玉県さいたま市西区植田谷本７９３,西区,高等学校,公立,
埼玉県立浦和東高等学校,埼玉県さいたま市緑区寺山３６５,緑区,高等学校,公立,
埼玉県立大宮光陵高等学校,埼玉県さいたま市西区中野林１４５,西区,高等学校,公立,
埼玉県立大宮中央高等学校,埼玉県さいたま市北区櫛引町２－４９９－１,北区,高等学校,公立,
さいたま市立浦和高等学校,埼玉県さいたま市浦和区元町１－２８－１７,浦和区,高等学校,公立,
さいたま市立大宮北高等学校,埼玉県さいたま市北区奈良町９１－１,北区,高等学校,公立,
さいたま市立浦和南高等学校,埼玉県さいたま市南区辻６－５－３１,南区,高等学校,公立,
埼玉栄高等学校,埼玉県さいたま市西区西大宮３丁目１１番地１,西区,高等学校,私立,
大宮開成高等学校,埼玉県さいたま市大宮区堀の内町１－６１５,大宮区,高等学校,私立,
松栄学園高等学校大宮分校,埼玉県さいたま市大宮区下町１－３５,大宮区,高等学校,私立,
栄東高等学校,埼玉県さいたま市見沼区砂町２－７７,見沼区,高等学校,私立,
淑徳与野高等学校,埼玉県さいたま市中央区上落合５－１９－１８,中央区,高等学校,私立,
浦和麗明高等学校,埼玉県さいたま市浦和区東岸町１０－３６,浦和区,高等学校,私立,
浦和実業学園高等学校,埼玉県さいたま市南区文蔵３－９－１,南区,高等学校,私立,
浦和明の星女子高等学校,埼玉県さいたま市緑区東浦和６－４－１９,緑区,高等学校,私立,
浦和学院高等学校,埼玉県さいたま市緑区代山１７２,緑区,高等学校,私立,
青山学院大学系属浦和ルーテル学院高等学校,埼玉県さいたま市緑区大崎３６４２,緑区,高等学校,私立,
開智高等学校,埼玉県さいたま市岩槻区徳力１８６,岩槻区,高等学校,私立,
さいたま市立大宮国際中等教育学校,埼玉県さいたま市大宮区三橋４－９６,大宮区,中等教育学校,公立,
埼玉大学教育学部附属特別支援学校,埼玉県さいたま市北区日進町２－４８０,北区,特別支援学校,国立,
埼玉県立特別支援学校大宮ろう学園,埼玉県さいたま市北区植竹町２－６８,北区,特別支援学校,公立,
埼玉県立浦和特別支援学校,埼玉県さいたま市緑区大崎５８,緑区,特別支援学校,公立,
埼玉県立大宮北特別支援学校,埼玉県さいたま市西区中釘２２９０－１,西区,特別支援学校,公立,
埼玉県立大宮北特別支援学校さいたま西分校,埼玉県さいたま市西区西遊馬１６０１,西区,特別支援学校,公立,
埼玉県立特別支援学校さいたま桜高等学園,埼玉県さいたま市桜区上大久保５１９－７,桜区,特別支援学校,公立,
埼玉県立けやき特別支援学校,埼玉県さいたま市中央区新都心１番地２,中央区,特別支援学校,公立,
埼玉県立岩槻はるかぜ特別支援学校,埼玉県さいたま市岩槻区馬込１１－２４２６－１,岩槻区,特別支援学校,公立,
埼玉県立上尾かしの木特別支援学校大宮商業分校,埼玉県さいたま市見沼区大和田町１－３５６,見沼区,特別支援学校,公立,
さいたま市立ひまわり特別支援学校,埼玉県さいたま市西区三橋６－１５８７,西区,特別支援学校,公立,
さいたま市立さくら草特別支援学校,埼玉県さいたま市緑区三室６３６－８０,緑区,特別支援学校,公立,
