学校名,住所,区,学校種別,設置区分,特別支援
はとり幼稚園,埼玉県さいたま市南区大谷口１３１２番地,南区,幼稚園,私立,
浦和みひかり幼稚園,埼玉県さいたま市南区内谷３－７－２１,南区,幼稚園,私立,
大谷口幼稚園,埼玉県さいたま市南区広ヶ谷戸９６,南区,幼稚園,私立,
認定こども園浦和つくし幼稚園,埼玉県さいたま市南区辻４丁目８番７号,南区,幼稚園,私立,
まつもと幼稚園,埼玉県さいたま市南区松本３－１２－８,南区,幼稚園,私立,
浦和若竹幼稚園,埼玉県さいたま市南区根岸３丁目１１番３号,南区,幼稚園,私立,
浦和めぐみ幼稚園,埼玉県さいたま市南区白幡４丁目１０番１５号,南区,幼稚園,私立,
原山幼稚園,埼玉県さいたま市緑区原山３丁目８番５号,緑区,幼稚園,私立,
しらさぎ幼稚園,埼玉県さいたま市緑区大字代山９９２番地,緑区,幼稚園,私立,
浦和明の星幼稚園,埼玉県さいたま市緑区東浦和６－４－１９,緑区,幼稚園,私立,
ふるさと幼稚園,埼玉県さいたま市緑区三室２３６０番地６,緑区,幼稚園,私立,
浦和みずほ幼稚園,埼玉県さいたま市緑区太田窪１－１２－１５,緑区,幼稚園,私立,
あかつき幼稚園,埼玉県さいたま市緑区中尾２３４２－２,緑区,幼稚園,私立,
大門幼稚園,埼玉県さいたま市緑区大門９３０,緑区,幼稚園,私立,
大古里育ちの森幼稚園,埼玉県さいたま市緑区三室６３５,緑区,幼稚園,私立,
認定こども園桜美林幼稚園,埼玉県さいたま市緑区芝原３－２４－５,緑区,幼稚園,私立,
岩槻幼稚園,埼玉県さいたま市岩槻区本町４－３－１５,岩槻区,幼稚園,私立,
幼稚園型認定こども園白菊幼稚園,埼玉県さいたま市岩槻区本町５－１１－３７,岩槻区,幼稚園,私立,
認定こども園恵泉幼稚園,埼玉県さいたま市岩槻区仲町１－１２－１０,岩槻区,幼稚園,私立,
大龍寺幼稚園,埼玉県さいたま市岩槻区本町５－３－１８,岩槻区,幼稚園,私立,
河合幼稚園,埼玉県さいたま市岩槻区大字平林寺４１８番地５,岩槻区,幼稚園,私立,
岩槻みどり幼稚園,埼玉県さいたま市岩槻区加倉１－２５－２,岩槻区,幼稚園,私立,
岩槻若葉幼稚園,埼玉県さいたま市岩槻区大字金重字東２４－１,岩槻区,幼稚園,私立,
大光幼稚園,埼玉県さいたま市岩槻区長宮６３９,岩槻区,幼稚園,私立,
岩槻ひかり幼稚園,埼玉県さいたま市岩槻区大字表慈恩寺９８９－１,岩槻区,幼稚園,私立,
桂愛幼稚園,埼玉県さいたま市岩槻区表慈恩寺５９３－１,岩槻区,幼稚園,私立,
ろりぽっぷ幼稚園,埼玉県さいたま市岩槻区慈恩寺２６１－４,岩槻区,幼稚園,私立,
東岩槻幼稚園,埼玉県さいたま市岩槻区上里２－３－９,岩槻区,幼稚園,私立,
宝国寺幼稚園,埼玉県さいたま市岩槻区鹿室２８６－１,岩槻区,幼稚園,私立,
東武リズム幼稚園,埼玉県さいたま市岩槻区釣上新田１４２１,岩槻区,幼稚園,私立,
はくつる幼稚園,埼玉県さいたま市岩槻区宮町１丁目６番２０号,岩槻区,幼稚園,私立,
認定こども園愛徳幼稚園,埼玉県さいたま市西区プラザ３６－１１,西区,認定こども園,私立,
認定こども園さしおうぎ幼稚園,埼玉県さいたま市西区宝来１１７５－１,西区,認定こども園,私立,
認定こども園聖愛幼稚園,埼玉県さいたま市大宮区桜木町２－１７２,大宮区,認定こども園,私立,
七里ふたばこども園,埼玉県さいたま市見沼区東宮下４８０,見沼区,認定こども園,私立,
認定こども園与野あいし幼稚園,埼玉県さいたま市中央区下落合１０３０,中央区,認定こども園,私立,
認定こども園ひなどり幼稚園,埼玉県さいたま市桜区西堀２－６－１８,桜区,認定こども園,私立,
認定こども園浦和こばと幼稚園,埼玉県さいたま市桜区大久保領家１０３－１,桜区,認定こども園,私立,
認定こども園母の会,埼玉県さいたま市浦和区本太１－２０－１０,浦和区,認定こども園,私立,
ひかり認定こども園,埼玉県さいたま市浦和区領家７丁目２－１４,浦和区,認定こども園,私立,
認定こども園こどものにわ西浦和幼稚園,埼玉県さいたま市南区曲本１－２１－２２,南区,認定こども園,私立,
認定こども園岩槻ひまわり幼稚園,埼玉県さいたま市岩槻区飯塚２３３,岩槻区,認定こども園,私立,
埼玉大学教育学部附属小学校,埼玉県さいたま市浦和区常盤６－９－４４,浦和区,小学校,国立,
さいたま市立指扇小学校,埼玉県さいたま市西区西大宮１丁目４９番地６,西区,小学校,公立,知的固定・情緒固定あり
さいたま市立馬宮東小学校,埼玉県さいたま市西区大字西遊馬１８９－１,西区,小学校,公立,知的固定・情緒固定あり
さいたま市立馬宮西小学校,埼玉県さいたま市西区飯田新田１８９－２,西区,小学校,公立,知的固定・情緒固定あり
さいたま市立植水小学校,埼玉県さいたま市西区中野林２２５－１,西区,小学校,公立,知的固定・情緒固定あり
さいたま市立大宮西小学校,埼玉県さいたま市西区三橋５－１３５９,西区,小学校,公立,知的固定・情緒固定あり
