緯度,経度,名称,住所,区,カテゴリ,対象学年,費用目安
35.870449,139.62439,公文式 鈴谷南教室,埼玉県さいたま市桜区山久保2-7-1,桜区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.855801,139.625427,公文式 くすの木教室,埼玉県さいたま市桜区西堀5-3-23,桜区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.847034,139.672073,公文式 南浦和教室,埼玉県さいたま市南区南浦和2-42-12,南区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.840172,139.668274,公文式 文蔵郷前教室,埼玉県さいたま市南区文蔵4-29-3,南区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.846203,139.653503,公文式 武蔵浦和東口教室,埼玉県さいたま市南区白幡3-7-20,南区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.834297,139.646286,公文式 内谷教室,埼玉県さいたま市南区内谷7-1-5,南区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.844795,139.666534,公文式 大谷場小東教室,埼玉県さいたま市南区南本町1-18-1,南区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.848797,139.64238,公文式 鹿手袋教室,埼玉県さいたま市南区鹿手袋4-1-16,南区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.84787,139.653366,公文式 白幡沼教室,埼玉県さいたま市南区白幡2-16-7,南区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.845436,139.650009,公文式 白幡南教室,埼玉県さいたま市南区白幡5-1-6,南区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.859001,139.676193,公文式 善前教室,埼玉県さいたま市南区太田窪4-17-5,南区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.849525,139.631943,公文式 田島通り教室,埼玉県さいたま市桜区田島4-11-8,桜区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.857899,139.675156,公文式 太田窪4丁目公園教室,埼玉県さいたま市南区太田窪4-20-6,南区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.869152,139.702698,公文式 東浦和7丁目教室,埼玉県さいたま市緑区東浦和7-2-2,緑区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.882748,139.692612,公文式 芝原教室,埼玉県さいたま市緑区芝原2-11-13 芝原第2グリーンハイツ101,緑区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.895554,139.728943,公文式 浦和美園駅前教室,埼玉県さいたま市緑区美園4-13-6 ドルフィーノ浦和美園104,緑区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.877453,139.730453,公文式 向小北教室,埼玉県さいたま市緑区大門1024-5,緑区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.953262,139.700226,公文式 岩槻小前教室,埼玉県さいたま市岩槻区本町5-7-8 スカイマンション302,岩槻区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.945038,139.694519,公文式 本町二丁目教室,埼玉県さいたま市岩槻区本町2-10-21,岩槻区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.953312,139.688156,公文式 岩槻西町教室,埼玉県さいたま市岩槻区西町2-4-35,岩槻区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
