緯度,経度,名称,住所,区,種別,設置区分,特別支援,定員,電話番号
35.870895,139.631546,さいたま市立鈴谷小学校,埼玉県さいたま市中央区鈴谷５－１－１,中央区,小学校,公立,知的固定・情緒固定あり,,
35.890572,139.62149,さいたま市立与野八幡小学校,埼玉県さいたま市中央区本町東５－２３－１４,中央区,小学校,公立,知的固定・情緒固定あり,,
35.8671,139.635483,さいたま市立与野南小学校,埼玉県さいたま市中央区大戸６－２－２５,中央区,小学校,公立,知的固定・情緒固定あり,,
35.857269,139.627991,さいたま市立土合小学校,埼玉県さいたま市桜区西堀７－２１－１,桜区,小学校,公立,知的固定・情緒固定あり,,
35.871731,139.598419,さいたま市立大久保小学校,埼玉県さいたま市桜区五関２１,桜区,小学校,公立,知的固定・情緒固定あり,,
35.860764,139.618423,さいたま市立栄和小学校,埼玉県さいたま市桜区栄和１－７－１,桜区,小学校,公立,知的固定・情緒固定あり,,
35.838146,139.623871,さいたま市立田島小学校,埼玉県さいたま市桜区田島１０－１２－１,桜区,小学校,公立,知的固定・情緒固定あり,,
35.871292,139.603546,さいたま市立大久保東小学校,埼玉県さいたま市桜区大久保領家３３１,桜区,小学校,公立,知的固定・情緒固定あり,,
35.850826,139.617401,さいたま市立新開小学校,埼玉県さいたま市桜区新開２－１８－１,桜区,小学校,公立,知的固定・情緒固定あり,,
35.874935,139.607635,さいたま市立神田小学校,埼玉県さいたま市桜区神田５４１－１,桜区,小学校,公立,知的固定・情緒固定あり,,
35.86496,139.623123,さいたま市立中島小学校,埼玉県さいたま市桜区中島１－２８－１,桜区,小学校,公立,知的固定・情緒固定あり,,
35.856712,139.656754,さいたま市立高砂小学校,埼玉県さいたま市浦和区岸町４－１－２９,浦和区,小学校,公立,知的固定・情緒固定あり,,
35.868248,139.64325,さいたま市立常盤小学校,埼玉県さいたま市浦和区常盤９－３０－９,浦和区,小学校,公立,知的固定・情緒固定あり,,
35.882607,139.65181,さいたま市立木崎小学校,埼玉県さいたま市浦和区領家４－１９－４,浦和区,小学校,公立,知的固定・情緒固定あり,,
35.861614,139.661728,さいたま市立仲本小学校,埼玉県さいたま市浦和区本太２－１２－３１,浦和区,小学校,公立,知的固定・情緒固定あり,,
35.865162,139.658234,さいたま市立本太小学校,埼玉県さいたま市浦和区本太２－２６－２５,浦和区,小学校,公立,知的固定・情緒固定あり,,
35.876484,139.648102,さいたま市立北浦和小学校,埼玉県さいたま市浦和区北浦和２－１８－３,浦和区,小学校,公立,知的固定・情緒固定あり,,
35.863075,139.640915,さいたま市立仲町小学校,埼玉県さいたま市浦和区常盤８－１８－４,浦和区,小学校,公立,知的固定・情緒固定あり,,
35.887302,139.641754,さいたま市立上木崎小学校,埼玉県さいたま市浦和区上木崎３－４－３,浦和区,小学校,公立,知的固定・情緒固定あり,,
35.85043,139.650452,さいたま市立岸町小学校,埼玉県さいたま市浦和区岸町５－２０－４,浦和区,小学校,公立,知的固定・情緒固定あり,,
35.882111,139.648254,さいたま市立針ヶ谷小学校,埼玉県さいたま市浦和区領家７－２－１,浦和区,小学校,公立,知的固定・情緒固定あり,,
35.882511,139.664276,さいたま市立大東小学校,埼玉県さいたま市浦和区大東３－１４－１,浦和区,小学校,公立,知的固定・情緒固定あり,,
35.880749,139.639191,さいたま市立常盤北小学校,埼玉県さいたま市浦和区針ヶ谷４－２－１２,浦和区,小学校,公立,知的固定・情緒固定あり,,
35.856323,139.67868,さいたま市立谷田小学校,埼玉県さいたま市南区太田窪５－１０－６,南区,小学校,公立,知的固定・情緒固定あり,,
35.846046,139.657593,さいたま市立南浦和小学校,埼玉県さいたま市南区白幡１－１－２０,南区,小学校,公立,知的固定・情緒固定あり,,
35.849869,139.647766,さいたま市立浦和別所小学校,埼玉県さいたま市南区別所２－５－３４,南区,小学校,公立,知的固定・情緒固定あり,,
35.853333,139.668045,さいたま市立大谷場小学校,埼玉県さいたま市南区南浦和１丁目１８番３号,南区,小学校,公立,知的固定・情緒固定あり,,
35.852928,139.674103,さいたま市立大谷場東小学校,埼玉県さいたま市南区大谷場２－１３－５４,南区,小学校,公立,知的固定・情緒固定あり,,
35.83876,139.630081,さいたま市立西浦和小学校,埼玉県さいたま市南区曲本１－３－５,南区,小学校,公立,知的固定・情緒固定あり,,
35.833527,139.65892,さいたま市立辻小学校,埼玉県さいたま市南区辻６－３－２８,南区,小学校,公立,知的固定・情緒固定あり,,
35.83527,139.673187,さいたま市立文蔵小学校,埼玉県さいたま市南区文蔵５－１６－２９,南区,小学校,公立,知的固定・情緒固定あり,,
35.838768,139.645538,さいたま市立沼影小学校,埼玉県さいたま市南区沼影２－８－３６,南区,小学校,公立,知的固定・情緒固定あり,,
35.862751,139.683517,さいたま市立大谷口小学校,埼玉県さいたま市南区広ヶ谷戸２４,南区,小学校,公立,知的固定・情緒固定あり,,
35.844604,139.643051,さいたま市立浦和大里小学校,埼玉県さいたま市南区別所７－１４－２８,南区,小学校,公立,知的固定・情緒固定あり,,
35.853909,139.686295,さいたま市立善前小学校,埼玉県さいたま市南区太田窪２５００－１,南区,小学校,公立,知的固定・情緒固定あり,,
35.857773,139.696136,さいたま市立向小学校,埼玉県さいたま市南区大谷口５４３７番地,南区,小学校,公立,知的固定・情緒固定あり,,
35.832092,139.665375,さいたま市立辻南小学校,埼玉県さいたま市南区辻８－７－３２,南区,小学校,公立,知的固定・情緒固定あり,,
35.883602,139.681915,さいたま市立三室小学校,埼玉県さいたま市緑区三室１９９４,緑区,小学校,公立,知的固定・情緒固定あり,,
35.868664,139.696899,さいたま市立尾間木小学校,埼玉県さいたま市緑区東浦和８－１１－５,緑区,小学校,公立,知的固定・情緒固定あり,,
35.866371,139.669708,さいたま市立原山小学校,埼玉県さいたま市緑区原山１－３０－１２,緑区,小学校,公立,知的固定・情緒固定あり,,
35.880684,139.733261,さいたま市立大門小学校,埼玉県さいたま市緑区大門１１８９,緑区,小学校,公立,知的固定・情緒固定あり,,
35.901207,139.703171,さいたま市立野田小学校,埼玉県さいたま市緑区大字上野田１６,緑区,小学校,公立,知的固定・情緒固定あり,,
35.875416,139.668045,さいたま市立道祖土小学校,埼玉県さいたま市緑区道祖土１－１－１,緑区,小学校,公立,知的固定・情緒固定あり,,
